OID_,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Join_Count_12,TARGET_FID_12,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,MBSNCD,MBSNNM,BBSNCD,Urban,Elev,Slope,HSI,HSI_QUANTILE,HSI_QUANTILE_RANGE,MAP_NUM,MAP_NAME,구분,LV2_CODE,LV2_NAME,LC2Code,Shape_Length,Shape_Area
1,2,272043,1,46754,1,272043,41461,"Cheoin-gu, Yongin-si",용인시처인구,1007,남한강하류,10,1,1,1,0.3182710,2,0.173682 - 0.336644,,,,210,논,210,4000.000000000000000,1000000.000000000000000
2,1,272053,1,46764,1,272053,41550,Anseong-si,안성시,1007,남한강하류,10,1,1,1,0.3742870,3,0.336645 - 0.965233,,,,210,논,210,4000.000000000000000,1000000.000000000000000
3,1,277576,1,47326,1,277576,41461,"Cheoin-gu, Yongin-si",용인시처인구,1007,남한강하류,10,1,1,1,0.3032820,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
4,1,268977,1,46436,1,268977,41550,Anseong-si,안성시,1007,남한강하류,10,1,1,1,0.3632110,3,0.336645 - 0.965233,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
5,1,276962,1,47262,1,276962,41461,"Cheoin-gu, Yongin-si",용인시처인구,1007,남한강하류,10,1,1,1,0.2869590,2,0.173682 - 0.336644,,,,420,인공초지,420,4000.000000000000000,1000000.000000000000000
6,1,293557,1,48837,1,293557,41610,Gwangju-si,광주시,1016,경안천,10,0,1,1,0.3269190,2,0.173682 - 0.336644,,,,150,교통지역,150,4000.000000000000000,1000000.000000000000000
7,1,283104,1,47831,1,283104,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2109490,2,0.173682 - 0.336644,,,,220,밭,220,4000.000000000000000,1000000.000000000000000
8,1,279407,1,47495,2,279407,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2390380,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
9,1,281254,1,47674,1,281254,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2653210,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
10,1,286179,1,48072,1,286179,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2268990,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
11,1,289265,1,48386,1,289265,41610,Gwangju-si,광주시,1016,경안천,10,1,1,1,0.2419550,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
12,1,289863,1,48433,1,289863,41610,Gwangju-si,광주시,1016,경안천,10,1,1,1,0.2150260,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
13,1,291104,1,48574,1,291104,41610,Gwangju-si,광주시,1016,경안천,10,1,1,1,0.2950000,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
14,2,297863,1,49311,3,297863,41450,Hanam-si,하남시,1016,경안천,10,1,1,1,0.3784630,3,0.336645 - 0.965233,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
15,1,280639,1,47615,1,280639,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2404790,2,0.173682 - 0.336644,,,,320,침엽수림,320,4000.000000000000000,1000000.000000000000000
16,1,281866,1,47727,1,281866,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2717210,2,0.173682 - 0.336644,,,,320,침엽수림,320,4000.000000000000000,1000000.000000000000000
17,1,278185,1,47383,1,278185,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2741730,2,0.173682 - 0.336644,,,,330,혼효림,330,4000.000000000000000,1000000.000000000000000
18,1,280021,1,47553,2,280021,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2359540,2,0.173682 - 0.336644,,,,420,인공초지,420,4000.000000000000000,1000000.000000000000000
19,1,289879,1,48449,1,289879,41610,Gwangju-si,광주시,1016,경안천,10,1,1,1,0.2631740,2,0.173682 - 0.336644,,,,420,인공초지,420,4000.000000000000000,1000000.000000000000000
20,2,288633,1,48307,1,288633,41461,"Cheoin-gu, Yongin-si",용인시처인구,1016,경안천,10,1,1,1,0.2721910,2,0.173682 - 0.336644,,,,620,기타 나지,620,4000.000000000000000,1000000.000000000000000
21,3,298447,1,49346,1,298447,11530,Guro-gu,구로구,1018,한강서울,10,1,1,1,0.1726370,1,0.003985 - 0.173681,376122,안양,D,110,주거지역,110,4000.000000000000000,1000000.000000000000000
22,2,297212,1,49207,1,297212,41210,Gwangmyeong-si,광명시,1018,한강서울,10,1,1,1,0.1770850,2,0.173682 - 0.336644,376121,소사,D,110,주거지역,110,4000.000000000000000,1000000.000000000000000
23,1,299680,1,49483,1,299680,11590,Dongjak-gu,동작구,1018,한강서울,10,0,1,1,0.1738520,2,0.173682 - 0.336644,376084,서울,D,110,주거지역,110,4000.000000000000000,1000000.000000000000000
24,1,304603,1,49928,1,304603,11110,Jongno-gu,종로구,1018,한강서울,10,0,1,1,0.3179050,2,0.173682 - 0.336644,376084,서울,D,110,주거지역,110,4000.000000000000000,1000000.000000000000000
25,3,308299,1,50129,1,308299,11305,Gangbuk-gu,강북구,1018,한강서울,10,0,1,1,0.3370130,3,0.336645 - 0.965233,,,,110,주거지역,110,4000.000000000000000,1000000.000000000000000
26,2,303374,1,49840,1,303374,11110,Jongno-gu,종로구,1018,한강서울,10,0,1,1,0.3344380,2,0.173682 - 0.336644,376084,서울,D,130,상업지역,130,4000.000000000000000,1000000.000000000000000
27,1,299706,1,49509,1,299706,41450,Hanam-si,하남시,1018,한강서울,10,1,1,1,0.3731420,3,0.336645 - 0.965233,,,,130,상업지역,130,4000.000000000000000,1000000.000000000000000
28,2,299059,1,49409,1,299059,11470,Yangcheon-gu,양천구,1018,한강서울,10,0,1,1,0.1232680,1,0.003985 - 0.173681,376083,공항,D,150,교통시설지역,150,4000.000000000000000,1000000.000000000000000
29,1,285550,1,48005,1,285550,41463,"Giheung-gu, Yongin-si",용인시기흥구,1018,한강서울,10,1,1,1,0.2772490,2,0.173682 - 0.336644,,,,150,교통지역,150,4000.000000000000000,1000000.000000000000000
30,2,295372,1,49009,1,295372,41210,Gwangmyeong-si,광명시,1018,한강서울,10,0,1,1,0.3051450,2,0.173682 - 0.336644,376122,안양,D,150,교통시설지역,150,4000.000000000000000,1000000.000000000000000
31,3,303997,1,49894,1,303997,11215,Gwangjin-gu,광진구,1018,한강서울,10,0,1,1,0.2505080,2,0.173682 - 0.336644,,,,150,교통지역,150,4000.000000000000000,1000000.000000000000000
32,1,301547,1,49693,1,301547,41450,Hanam-si,하남시,1018,한강서울,10,0,1,1,0.4481300,3,0.336645 - 0.965233,,,,150,교통지역,150,4000.000000000000000,1000000.000000000000000
33,2,307067,1,50091,1,307067,11290,Seongbuk-gu,성북구,1018,한강서울,10,0,1,1,0.3622140,3,0.336645 - 0.965233,,,,150,교통지역,150,4000.000000000000000,1000000.000000000000000
34,1,296599,1,49140,1,296599,41210,Gwangmyeong-si,광명시,1018,한강서울,10,0,1,1,0.2364510,2,0.173682 - 0.336644,376121,소사,D,160,공공시설지역,160,4000.000000000000000,1000000.000000000000000
35,2,289838,1,48408,1,289838,41171,"Manan-gu, Anyang-si",안양시만안구,1018,한강서울,10,1,1,1,0.1639840,1,0.003985 - 0.173681,376124,군포,D,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
36,2,289836,1,48406,2,289836,41171,"Manan-gu, Anyang-si",안양시만안구,1018,한강서울,10,1,1,1,0.2979540,2,0.173682 - 0.336644,376124,군포,D,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
37,1,291704,1,48627,1,291704,41135,"Bundang-gu, Seongnam-si",성남시 분당구,1018,한강서울,10,1,1,1,0.2978840,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
38,1,294165,1,48896,1,294165,41133,"Jungwon-gu, Seongnam-si",성남시 중원구,1018,한강서울,10,1,1,1,0.3036530,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
39,1,294771,1,48955,1,294771,11650,Seocho-gu,서초구,1018,한강서울,10,1,1,1,0.2119140,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
40,2,307676,1,50106,2,307676,11110,Jongno-gu,종로구,1018,한강서울,10,1,1,1,0.2958760,2,0.173682 - 0.336644,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
41,1,292307,1,48681,1,292307,41430,Uiwang-si,의왕시,1018,한강서울,10,1,1,1,0.3636920,3,0.336645 - 0.965233,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
42,2,306445,1,50046,1,306445,11380,Eunpyeong-gu,은평구,1018,한강서울,10,1,1,1,0.3617020,3,0.336645 - 0.965233,376084,서울,D,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
43,1,311376,1,50244,1,311376,11350,Nowon-gu,노원구,1018,한강서울,10,1,1,1,0.5012990,3,0.336645 - 0.965233,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
44,1,292318,1,48692,1,292318,41135,"Bundang-gu, Seongnam-si",성남시 분당구,1018,한강서울,10,1,1,1,0.3168890,2,0.173682 - 0.336644,,,,320,침엽수림,320,4000.000000000000000,1000000.000000000000000
45,1,295376,1,49013,1,295376,11620,Gwanak-gu,관악구,1018,한강서울,10,1,1,1,0.2495300,2,0.173682 - 0.336644,376122,안양,D,330,혼효림,330,4000.000000000000000,1000000.000000000000000
46,2,305217,1,49968,1,305217,11110,Jongno-gu,종로구,1018,한강서울,10,1,1,1,0.3707210,3,0.336645 - 0.965233,376084,서울,D,330,혼효림,330,4000.000000000000000,1000000.000000000000000
47,2,297854,1,49302,1,297854,41450,Hanam-si,하남시,1018,한강서울,10,1,1,1,0.3142890,2,0.173682 - 0.336644,,,,420,인공초지,420,4000.000000000000000,1000000.000000000000000
48,2,304607,1,49932,1,304607,11110,Jongno-gu,종로구,1018,한강서울,10,0,1,1,0.3342010,2,0.173682 - 0.336644,,,,420,인공초지,420,4000.000000000000000,1000000.000000000000000
49,1,302779,1,49806,1,302779,41450,Hanam-si,하남시,1018,한강서울,10,1,1,1,0.4471640,3,0.336645 - 0.965233,,,,420,인공초지,420,4000.000000000000000,1000000.000000000000000
50,1,288609,1,48283,1,288609,41410,Gunpo-si,군포시,1018,한강서울,10,1,1,1,0.3195800,2,0.173682 - 0.336644,376124,군포,D,620,기타나지,620,4000.000000000000000,1000000.000000000000000
51,1,305226,1,49976,1,305226,11230,Dongdaemun-gu,동대문구,1018,한강서울,10,0,1,1,0.4036170,3,0.336645 - 0.965233,,,,620,기타 나지,620,4000.000000000000000,1000000.000000000000000
52,3,300917,1,49617,1,300917,11170,Yongsan-gu,용산구,1018,한강서울,10,1,1,1,0.2100300,2,0.173682 - 0.336644,,,,710,내륙수,710,4000.000000000000000,1000000.000000000000000
53,1,299662,1,49465,1,299662,28237,Bupyeong-gu,부평구,1019,한강고양,10,0,1,1,0.1805190,2,0.173682 - 0.336644,376074,계산,D,110,주거지역,110,4000.000000000000000,1000000.000000000000000
54,2,297815,1,49263,2,297815,28200,Namdong-gu,남동구,1019,한강고양,10,0,1,1,0.2002230,2,0.173682 - 0.336644,376112,인천,D,150,교통시설지역,150,4000.000000000000000,1000000.000000000000000
55,1,318732,1,50474,2,318732,41480,Paju-si,파주시,1019,한강고양,10,0,1,1,0.4722640,3,0.336645 - 0.965233,,,,150,교통지역,150,4000.000000000000000,1000000.000000000000000
56,2,304583,1,49914,1,304583,41570,Gimpo-si,김포시,1019,한강고양,10,1,1,1,0.2237240,2,0.173682 - 0.336644,376074,계산,D,210,논,210,4000.000000000000000,1000000.000000000000000
57,2,305200,1,49961,1,305200,41570,Gimpo-si,김포시,1019,한강고양,10,1,1,1,0.2184630,2,0.173682 - 0.336644,376083,공항,D,210,논,210,4000.000000000000000,1000000.000000000000000
58,1,313800,1,50314,1,313800,41570,Gimpo-si,김포시,1019,한강고양,10,0,1,1,0.3669120,3,0.336645 - 0.965233,,,,210,논,210,4000.000000000000000,1000000.000000000000000
59,1,300274,1,49526,1,300274,28237,Bupyeong-gu,부평구,1019,한강고양,10,1,1,1,0.2285960,2,0.173682 - 0.336644,376074,계산,D,220,밭,220,4000.000000000000000,1000000.000000000000000
60,1,303348,1,49814,2,303348,28260,Seo-gu,서구,1019,한강고양,10,1,1,1,0.2440600,2,0.173682 - 0.336644,376074,계산,D,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
61,1,317493,1,50439,1,317493,41480,Paju-si,파주시,1019,한강고양,10,0,1,1,0.4804460,3,0.336645 - 0.965233,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
62,1,305805,1,49990,2,305805,28260,Seo-gu,서구,1019,한강고양,10,1,1,1,0.2229990,2,0.173682 - 0.336644,376074,계산,D,330,혼효림,330,4000.000000000000000,1000000.000000000000000
63,1,316876,1,50418,1,316876,41570,Gimpo-si,김포시,1019,한강고양,10,0,1,1,0.3335410,2,0.173682 - 0.336644,,,,710,내륙수,710,4000.000000000000000,1000000.000000000000000
64,1,323657,1,50547,1,323657,41480,Paju-si,파주시,1023,임진강하류,10,0,1,1,0.6493390,3,0.336645 - 0.965233,,,,210,논,210,4000.000000000000000,1000000.000000000000000
65,1,323040,1,50539,1,323040,41480,Paju-si,파주시,1023,임진강하류,10,0,1,1,0.6709390,3,0.336645 - 0.965233,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
66,1,329199,1,50624,1,329199,41480,Paju-si,파주시,1023,임진강하류,10,0,1,1,0.6512760,3,0.336645 - 0.965233,,,,310,활엽수림,310,4000.000000000000000,1000000.000000000000000
67,1,322426,1,50534,1,322426,41480,Paju-si,파주시,1023,임진강하류,10,0,1,1,0.6592090,3,0.336645 - 0.965233,,,,320,침엽수림,320,4000.000000000000000,1000000.000000000000000
68,1,328578,1,50609,1,328578,41480,Paju-si,파주시,1023,임진강하류,10,0,1,1,0.7361240,3,0.336645 - 0.965233,,,,420,인공초지,420,4000.000000000000000,1000000.000000000000000
69,1,255406,1,44707,2,255406,44200,Asan-si,아산시,1101,안성천,11,1,1,1,0.1494150,1,0.003985 - 0.173681,367013,온양,B,110,주거지역,110,4000.000000000000000,1000000.000000000000000
70,2,280005,1,47537,1,280005,41113,"Gwonseon-gu, Suwon-si",수원시 권선구,1101,안성천,11,1,1,1,0.2865720,2,0.173682 - 0.336644,376162,발안,D,110,주거지역,110,4000.000000000000000,1000000.000000000000000
71,1,282465,1,47760,1,282465,41113,"Gwonseon-gu, Suwon-si",수원시 권선구,1101,안성천,11,0,1,1,0.2869140,2,0.173682 - 0.336644,376124,군포,D,110,주거지역,110,4000.000000000000000,1000000.000000000000000
72,1,278772,1,47415,1,278772,41590,Hwaseong-si,화성시,1101,안성천,11,1,1,1,0.2150050,2,0.173682 - 0.336644,376162,발안,D,120,공업지역,120,4000.000000000000000,1000000.000000000000000
